athlete_id,firstname,lastname,country,birthday,gender,paraclimbing_sport_class,height,speed_personal_best_score,speed_personal_best_date,speed_personal_best_round
61,Mikhail,CHERNIKOV,RUS,1985-03-21,male,,,,,
62,Alina,GAIDAMAKINA,RUS,1990-09-20,female,,,8.24,2013-10-16,Final
63,Kseniya,POLEKHINA,RUS,1990-02-11,female,,,8.51,2014-09-14,Final
64,Sergey,ABDRAKHMANOV,RUS,1990-02-02,male,,,5.98,2012-10-13,Final
65,Evgenii,ZAZULIN,CFR,1991-06-14,male,,,25.73,2008-08-31,Qualification
66,Arman,TER-MINASYAN,RUS,1992-01-19,male,,,7.62,2010-09-12,Final
67,Vadim,TIMONOV,RUS,1992-11-06,male,,,11.17,2019-05-05,Qualification
68,Dinara,FAKHRITDINOVA,RUS,1992-11-20,female,,152,11.55,2011-07-13,Qualification
69,Aleksei,SHCHERVIANIN,RUS,1988-06-29,male,,,,,
70,Anna,ZAIKINA,RUS,1993-04-15,female,,,10.21,2012-09-01,Qualification
71,Galina,TERENTEVA,RUS,1989-09-28,female,,,25.27,2008-07-13,Qualification
72,Yury,NOVITSKIY,RUS,1988-06-24,male,,,8.76,2011-04-17,Qualification
73,Anna,TSYGANOVA,RUS,1993-09-06,female,,,7.52,2016-09-18,Final
74,Stanislav,KOKORIN,RUS,1990-01-22,male,,,5.8,2019-08-21,Final
75,Ekaterina,NOVITSKAIA,RUS,1992-01-09,female,,,10.79,2011-07-13,Final
76,Artem,SAVELYEV,RUS,1994-08-16,male,,,6.7,2013-08-19,Qualification
77,Nataliia,STEPANOVA,RUS,1993-09-12,female,,,10.33,2012-09-01,Qualification
78,Nikita,SUYUSHKIN,RUS,1994-08-03,male,,,6.32,2013-08-19,Final
79,Aleksey,RUBTSOV,RUS,1988-08-05,male,,178,7.23,2021-10-05,Qualification
80,Mikhail,KOCHETKOV ,RUS,1983-04-06,male,,,,,
81,Yuliya,LEVOCHKINA ,RUS,1990-03-29,female,,,8.23,2015-07-12,Final
82,Mariia,KRASAVINA,CFR,1990-08-03,female,,,7.28,2019-10-20,Final
83,Georgy,DERKACHEV,RUS,1991-02-06,male,,,31.61,2008-11-02,Qualification
84,Evgenii,KALASHNIKOV ,RUS,1992-12-22,male,,,,,
85,Sergei,LUZHETSKII,RUS,1995-08-15,male,,,6.3,2020-11-29,Qualification
86,Arsenii,SHEVCHENKO,RUS,1990-05-16,male,,,6.33,2012-10-13,Final
87,Irina,KUZMENKO,RUS,1995-07-08,female,,171,,,
88,Vsevolod,ILINYKH,RUS,1993-09-15,male,,,,,
89,Sergei,SKORODUMOV,RUS,1996-05-13,male,,,9.12,2019-05-05,Qualification
90,Artem,PETRAKOV,RUS,1991-12-08,male,,,,,
91,Anna,MARGOLINA,RUS,1996-01-03,female,,,16.23,2010-09-12,Final
92,Georgy,ARTAMONOV ,RUS,1996-10-27,male,,,6.11,2017-07-08,Qualification
93,Dmitrii,FAKIRIANOV,RUS,1994-11-18,male,,171,9.69,2019-04-14,Qualification
94,Anastasiia,GOLIKOVA,RUS,1997-12-09,female,,,9.15,2014-07-12,Final
95,Yury,TAKZHANOV,RUS,1987-01-04,male,,,,,
96,Egor,KRYACHKOV,RUS,1996-02-20,male,,,,,
97,Daria,MALYSHEVA,RUS,1996-08-16,female,,,12.09,2013-09-29,Qualification
98,Vladislav,DEULIN,CFR,1994-05-05,male,,,5.38,2021-07-02,Final
99,Evgeniya,LAPSHINA,RUS,1997-03-22,female,,,9.88,2014-09-23,Qualification
100,Dana,GILEMKHANOVA,RUS,1996-02-15,female,,,,,
103,Sergei,BYDTAEV,RUS,1997-06-07,male,,,,,
104,Anna,EMETS,RUS,1996-02-25,female,,,10.23,2012-09-01,Final
105,Dmitrii,TIMOFEEV,CFR,1993-03-07,male,,,5.48,2021-07-02,Final
106,Artem,KHABIBULLIN,RUS,1993-11-22,male,,,6.31,2018-05-13,Qualification
107,Danil,ZAKIROV,RUS,1997-04-20,male,,,7.03,2013-08-19,Final
108,Ruslan,FAIZULLIN,RUS,1996-01-02,male,,,6.48,2018-04-22,Qualification
109,Aleksandr,SHIKOV,CFR,1997-04-01,male,,,5.54,2019-07-06,Final
110,Iuliia,KAPLINA,CFR,1993-05-11,female,,,6.96,2020-11-29,Qualification
111,Maksim,DIACHKOV,RUS,1997-07-31,male,,,6.75,2014-09-23,Qualification
112,Daria,KAN,RUS,1998-09-28,female,,,8.34,2017-09-10,Final
113,Vadim,MALSHCHUKOV,CFR,1998-04-10,male,,,,,
114,Anastasia,MANUYLOVA,RUS,1998-12-10,female,,,9.41,2014-09-23,Final
115,Mariia,MUSIENKO,RUS,1998-01-25,female,,,10.19,2014-09-23,Qualification
116,Vladislav,MYZNIKOV,RUS,1998-02-05,male,,,6.95,2015-09-06,Final
117,Elena,TIMOFEEVA,RUS,1996-06-20,female,,,7.61,2018-04-22,Final
118,Iuliia,PANTELEEVA,RUS,1998-08-21,female,,,9.81,2016-11-13,Final
119,Svetlana,MOTOVILOVA,RUS,1996-02-26,female,,,8.83,2017-07-08,Qualification
120,Lev,RUDATSKIY,CFR,1998-11-02,male,,,5.52,2019-10-20,Final
121,Anton,SVIRIDOV,RUS,1998-02-17,male,,,,,
122,Vlas,GAVRILOV,RUS,1989-10-10,male,,,,,
124,Arseniy,KUPCHIK,RUS,1994-08-31,male,,,,,
127,Olga,KUSHCH,RUS,1996-09-22,female,,,,,
128,Valentina,ANTONENKO,RUS,1999-05-15,female,,,,,
129,Elizaveta,IVANOVA,CFR,1999-12-29,female,,172,7.3,2021-09-16,Final
130,Pavel,KALUGIN,RUS,1998-12-29,male,,,,,
131,Valeriia,DERIABINA,RUS,1998-08-08,female,,,10.81,2017-09-10,Qualification
132,Fedor,TRUKHANOV,RUS,1998-04-20,male,,,6.9,2017-09-10,Final
137,Ekaterina,BARASHCHUK,CFR,1999-04-20,female,,,7.28,2021-07-02,Final
138,Nikolai,MICHUROV,RUS,2000-05-19,male,,,9.82,2017-09-10,Qualification
139,Daniil,KORNIETCKII,RUS,1999-02-22,male,,,,,
140,Ilia,POPOV,RUS,1999-07-29,male,,,7.13,2016-11-13,Final
141,Irina,VARIK,RUS,2000-07-10,female,,,10.55,2016-11-13,Final
142,Konstantin,GORLENKO,RUS,1999-02-26,male,,,,,
143,Petr,ZEMLIAKOV,RUS,2000-10-05,male,,,7.01,2017-09-10,Qualification
144,Elena,KRASOVSKAIA,RUS,2000-05-29,female,,169,8.7,2019-08-21,Qualification
145,Denis,DIACHKOV,RUS,2000-05-31,male,,,8.47,2015-09-06,Final
146,Arsenii,BOGOMOLOV,CFR,1995-12-21,male,,,5.77,2021-09-16,Qualification
147,Viktoriia,MESHKOVA,RUS,2000-09-20,female,,161,9.16,2020-11-29,Final
148,Luiza,EMELEVA,RUS,2000-02-05,female,,,9.44,2017-09-09,Qualification
152,Ilia,SITKIN,RUS,2000-02-09,male,,,,,
153,Timur,YAMALIEV,RUS,2000-01-17,male,,,7.3,2016-11-13,Final
154,Aleksandr,SHILOV,RUS,1994-03-15,male,,,5.7,2018-07-28,Final
157,Karina,GAREEVA,RUS,2001-06-29,female,,,8.89,2018-08-16,Final
158,Polina,GOREVA,RUS,2001-01-06,female,,,10.83,2015-09-06,Final
159,Roman,BOZHKO,RUS,2001-01-11,male,,,7.38,2016-11-13,Final
160,Daniil,SHIRIAEV,RUS,2000-12-12,male,,,,,
161,Oleg,BUSHIN,RUS,2001-04-19,male,,,,,
162,Igor,BARSKII,RUS,1997-06-13,male,,,6.97,2015-09-06,Final
163,Elena,PAUKOVA,RUS,1997-02-13,female,,,,,
164,Aleksei,IAKUSHEV,RUS,2000-03-09,male,,,,,
165,Nikolai,IARILOVETS,RUS,1999-04-29,male,,,6.26,2019-04-28,Qualification
166,Mariia,YURINA,RUS,2000-10-13,female,,,,,
167,Georgii,MOROZOV ,RUS,2000-05-14,male,,,6.84,2017-09-10,Final
168,Darina,GALAGANOVA,RUS,2001-07-27,female,,,10.31,2018-04-22,Qualification
169,Maria,SARSADSKIKH,RUS,1997-05-23,female,,,,,
170,Grigorii,PESTOV,RUS,2000-07-02,male,,,,,
171,Irina,SABITOVA,RUS,1998-06-06,female,,,10.24,2016-11-13,Final
172,Vladislav,SHEVCHENKO,RUS,1998-07-30,male,,,10.76,2018-04-22,Qualification
173,Semen,OVCHINNIKOV,RUS,2002-04-08,male,,172,7.79,2018-08-16,Qualification
174,Sofiia,KESSEL,RUS,2002-10-03,female,,,,,
175,Polina,KULAGINA,CFR,2002-02-24,female,,,8.33,2021-07-01,Qualification
176,Daria,FURMANOVA,RUS,2002-08-13,female,,,,,
177,Daria,VERETENINA,RUS,2001-04-18,female,,,,,
178,Elizaveta,TROKINA,RUS,2002-05-20,female,,,,,
179,Violetta,CHERNYKH,RUS,2001-05-20,female,,,,,
180,Oleg,ANTONOV,RUS,1997-01-21,male,,,,,
181,Polina,AKSENOVA,RUS,2001-12-11,female,,,8.61,2018-04-22,Qualification
182,Dmitry,GOLOV,RUS,1999-02-14,male,,,,,
184,Elizaveta,LAPENKOVA,RUS,1998-11-25,female,,,,,
185,Dmitrii,POPOV,RUS,1997-07-10,male,,,,,
187,Timofei,KARPOV,RUS,2002-02-12,male,,,,,
188,Andrei,SMYK,RUS,2001-05-19,male,,,,,
189,Ilia,DANILIN,RUS,2001-04-25,male,,,,,
190,Milena,VOLOCHKO,RUS,2001-06-27,female,,,,,
191,Anastasiia,EVGENEVA,RUS,2001-03-13,female,,,,,
192,Igor,BOBRENEV,RUS,2002-03-24,male,,,8.31,2017-09-10,Qualification
193,Kseniia,PROKOFEVA,RUS,1999-09-16,female,,,,,
194,Daria,KUZNETSOVA,RUS,2001-03-06,female,,,9.64,2016-11-13,Final
195,Almaz,NAGAEV,RUS,2001-04-05,male,,,5.86,2019-08-31,Final
196,Anton,KULBA,RUS,2002-04-26,male,,174,7.02,2017-09-10,Final
197,Elena,REMIZOVA,RUS,2000-12-21,female,,,7.52,2019-08-31,Final
198,Sergei,RUKIN,RUS,2000-01-21,male,,,5.76,2019-10-20,Final
199,Valeriia,SLOBODCHIKOVA,RUS,2002-06-17,female,,,9.63,2017-09-10,Final
200,Danil,OGORODNIKOV,RUS,2001-07-17,male,,,7.82,2016-11-13,Final
201,Daria,LEZHNINA,RUS,1997-09-25,female,,,9.19,2016-11-13,Final
204,Viacheslav,VOLKOV,RUS,2002-04-27,male,,,,,
205,Vladislav,TERLEEV,RUS,2000-02-25,male,,,6.44,2018-08-16,Final
206,Oleg,PEYSAKHOVICH,RUS,1997-04-04,male,,,,,
207,Elizaveta,GOFMAN,RUS,2003-08-01,female,,,,,
208,Kirill,IUDIN,RUS,2002-06-29,male,,,,,
209,Serafima,SUBBOTINA,RUS,2002-08-10,female,,,,,
210,Egor,DULUB,RUS,2000-12-17,male,,,,,
211,Svetlana,SHAROVA,RUS,1992-07-10,female,,,8.84,2017-07-08,Qualification
212,Alena,PASHNINA,RUS,2002-04-28,female,,,,,
213,Dmitrii,BRAGIN,RUS,2001-12-30,male,,,,,
214,Kseniia,KRIVOSHEEVA,RUS,1999-06-27,female,,,,,
215,Vladimir,ZAKHAROV,RUS,2003-06-27,male,,,7.81,2018-08-16,Final
216,Alexsandr,SEREBRENNIKOV,RUS,2000-10-13,male,,,,,
217,Aleksandr,KHRAMTCOV,RUS,2000-10-23,male,,,,,
218,Daria,POTAPOVA,RUS,2002-12-11,female,,,8.77,2018-08-16,Final
219,Iuliia,PANFILOVA,RUS,2003-04-10,female,,,,,
220,Kamilla,KUSHAEVA,RUS,2002-07-21,female,,,8.44,2018-08-16,Final
221,Mikhail,BABICHEV,RUS,2002-09-12,male,,,7.95,2018-08-16,Qualification
222,Kseniia,PETROVA,RUS,1999-05-11,female,,,8.47,2019-07-06,Qualification
223,Vasily, ABDURAKHMANOV,RUS,1998-05-08,male,,,7.39,2017-09-10,Qualification
224,Demyan,ZAYTSEV,RUS,1999-05-21,male,,,6.61,2018-08-16,Final
225,Evgeny,KUZIN,RUS,2003-04-17,male,,,7.23,2017-09-10,Final
226,Olesya,PROSEKOVA,CFR,1999-04-06,female,,,,,
227,Anastasia,KURMACHEVA,RUS,2002-01-15,female,,,10.72,2017-09-10,Final
228,Iana,GULSTEN,RUS,2002-02-23,female,,,10.94,2017-09-10,Qualification
229,Svetlana,SERGEEVA,RUS,2002-09-27,female,,,,,
230,Artemii,DERBYSHEV,RUS,2002-05-25,male,,,,,
231,Sergei,TIUPYSHEV,CFR,2000-10-21,male,,,,,
232,Ivan,ZEMLIAKOV,RUS,2003-03-05,male,,,6.42,2019-08-31,Qualification
233,Pavel,DANILOV,RUS,1998-10-31,male,,,,,
234,Denis,KARPIKOV,RUS,1998-09-08,male,,,6.09,2021-07-01,Qualification
236,Dmitrii,KOSTIN,RUS,2002-05-13,male,,,,,
237,Iuliia,OVCHINNIKOVA,RUS,2002-06-14,female,,,8.7,2019-08-31,Final
238,Konstantin,MITIN,RUS,1990-09-18,male,,,,,
239,Nikolai,MOROZOV,RUS,1994-12-03,male,,,,,
240,Eduard,DAUKAEV,RUS,2001-07-11,male,,,6.23,2019-08-31,Final
241,Tagir,IZMAILOV,RUS,1995-06-20,male,,,6.53,2018-04-22,Qualification
243,Artem,KOSKOV,RUS,2002-06-17,male,,,,,
244,Anastasiia,VOLKOVA,RUS,2003-01-14,female,,,,,
245,Aleksey,ZVEREV,RUS,2003-08-06,male,,,,,
246,Danil,PUDRIKOV,RUS,2000-04-08,male,,,6.25,2018-08-16,Final
247,Sofiia,KUZAKOVA,RUS,2003-09-18,female,,,10.27,2018-08-16,Final
248,Marina,SIUTKINA,RUS,2004-02-10,female,,,10.37,2019-08-31,Qualification
249,Alisa,LESHKINA,RUS,2003-09-16,female,,,11.45,2018-08-16,Qualification
250,Sofia,POMYKALOVA,RUS,2003-08-07,female,,,10.65,2018-08-16,Final
251,Maksim,RYZHOV,RUS,2004-01-29,male,,,6.71,2019-08-31,Qualification
252,Sergei,EKIMOV,RUS,2003-03-04,male,,,8.74,2018-08-16,Qualification
253,Varvara,BUT,RUS,2000-02-23,female,,,,,
254,Danila,UKOLOV,RUS,2002-10-17,male,,,7.43,2019-08-31,Qualification
255,Kirill,BELIANKIN,RUS,2004-12-15,male,,,,,
256,Alexandra,IVSHINA,RUS,2004-11-10,female,,,,,
257,Sofia,IVANOVA,RUS,1996-07-12,female,,,,,
258,Dmitry,ZADOYA,RUS,1997-09-08,male,,,,,
259,Anastasia,CHELMAKINA,RUS,1997-07-02,female,,,,,
260,Alexandr,MEZYAEV,RUS,2003-05-02,male,,,,,
261,Vladislav,LITVINOV,RUS,2000-07-31,male,,,,,
263,Varvara,PANASINA,RUS,2002-03-30,female,,,,,
264,Ekaterina,CHEREDNICHENKO,RUS,2004-07-16,female,,,,,
265,Dmitrii,TUNOSHENSKII,RUS,2003-07-31,male,,,,,
266,Egor,BABICHEV,RUS,2003-03-05,male,,,,,
267,Elena,MATIAK-IABLUCHKINA,RUS,2003-09-19,female,,,,,
268,Kirill,POLEVOI,RUS,2004-12-29,male,,,,,
269,Lev,SHCHERBAKOV,RUS,2004-09-04,male,,,,,
273,Daria,GARKINA,RUS,2003-01-06,female,,,,,
276,Egor,GOLUBTSOV,RUS,2003-12-19,male,,,,,
277,Mariia,PLIASKINA,RUS,2003-09-24,female,,,,,
278,Marta,VODILOVA,RUS,2004-03-18,female,,,,,
279,Iurii,KOVALEV,RUS,2004-05-16,male,,173,,,
280,Maria,FISEYSKAYA,RUS,2004-05-15,female,,,,,
281,Mayya,BASANETS,RUS,1999-07-01,female,,,,,
282,Alexandre,DEVAUD,SUI,1973-03-28,male,,,,,
283,Andy,LAUBER,SUI,1978-04-25,male,,,,,
286,Christian,ZWAHLEN,SUI,1974-06-12,male,,,,,
287,Didier,BERTHOLD,SUI,1981-08-06,male,,,,,
288,David,GISLER,SUI,1979-08-02,male,,,,,
289,Johnny,SCHELKER,SUI,1968-02-27,male,,,,,
302,Alec,BRONITZ,BEL,1971-06-28,male,,,,,
303,Johan,MUS,BEL,1970-05-04,male,,,,,
304,Jan,VERSCHOTEN,BEL,,male,,,,,
305,Oliver,COENEN,BEL,,male,,,,,
306,Muriel,SARKANY,BEL,1974-08-05,female,,,,,
307,Nathalie,HANSSENS,BEL,1984-11-18,female,,,,,
308,Stephane,HANSSENS,BEL,1986-07-18,male,,,12.6,2016-09-18,Qualification
309,Chloé,GRAFTIAUX,BEL,1987-07-18,female,,,41.09,2008-09-27,Qualification
310,Raphael,FERNANDEZ,BEL,1986-04-26,male,,,,,
311,Nicolas,FARCY,BEL,1983-07-31,male,,,,,
312,Sébastien,BERTHE,BEL,1993-08-02,male,,,46.8,2009-08-30,Qualification
313,Lukas,GEUKENS,BEL,1994-11-02,male,,,,,
314,Loïc,TIMMERMANS,BEL,1995-04-08,male,,,8.13,2019-10-20,Qualification
315,Anak,VERHOEVEN,BEL,1996-07-15,female,,,,,
316,Chloe,CAULIER,BEL,1996-11-18,female,,166,10.12,2019-05-05,Qualification
317,Antoine,KAUFFMANN,BEL,1993-10-15,male,,,,,
318,Simon,LORENZI,BEL,1997-02-09,male,,168,7.59,2020-11-29,Qualification
319,Thomas,SALAKENOS,BEL,1994-06-03,male,,,,,
320,Nicolas,COLLIN,BEL,1998-03-24,male,,179,6.67,2020-11-29,Qualification
321,Celine,CUYPERS,BEL,1998-12-11,female,,,11.78,2019-07-06,Qualification
323,Elfe,CLAES,BEL,1999-11-14,female,,,15.62,2017-09-10,Qualification
324,Rob,DENAYER,BEL,1998-03-23,male,,,,,
327,Arnaud,ANSION,BEL,1998-02-27,male,,,,,
328,Heloïse,DOUMONT,BEL,1998-06-10,female,,159,11.63,2019-07-06,Qualification
331,Didier,MOTTART,BEL,1978-07-18,male,,,,,
334,Cathinka,TILBORGHS,BEL,2000-01-11,female,,,,,
335,Laure-anne,STEVENS,BEL,2000-12-07,female,,,,,
336,Lukas,FRANCKAERT,BEL,2000-02-16,male,,,8.43,2019-08-31,Qualification
337,Merlin,MATHEYS,BEL,1999-07-14,male,,,,,
338,Harold,PEETERS,BEL,2000-04-16,male,,,14.31,2017-09-10,Qualification
339,Sven,LEMPEREUR,BEL,1999-01-28,male,,,,,
340,Louis,DEBRULLE,BEL,2000-12-24,male,,,,,
342,Aiko,HERBOS,BEL,2001-07-16,male,,,,,
343,Ine,VAN ZEGBROECK,BEL,2001-03-13,female,,,,,
344,Brieuc,BASTIN,BEL,2001-08-30,male,,,,,
345,Lionel,BAUDUIN,BEL,2001-11-28,male,,,,,
346,Marie,COLOT,BEL,2001-08-14,female,,,,,
347,Sébastien,CAVIOLA,BEL,1999-11-26,male,,,,,
348,Luca,FERRARI,BEL,2002-07-22,male,,,9.42,2018-08-16,Qualification
349,Lucie,DELCOIGNE,BEL,2002-02-12,female,,,12.26,2018-08-16,Qualification
350,Charlène,TILBORGHS,BEL,2002-02-12,female,,,,,
354,Jasper,VAN MALDEREN,BEL,2003-01-11,male,,,,,
355,Ferre,BEIRENS,BEL,2003-08-19,male,,,,,
356,Ties,VANCRAEYNEST,BEL,2003-03-16,male,,177,11.52,2018-08-16,Qualification
357,Rafflesia,REIJNIERS,BEL,2002-03-27,female,,,,,
358,Camille,DE WIT,BEL,2002-12-31,female,,,33.93,2017-09-10,Qualification
361,Lisa,HARDIQUEST,BEL,2001-10-27,female,,,,,
362,Franklin,FLAMENT,BEL,2003-05-29,male,,,,,
363,Lucie,WATILLON,BEL,2003-07-28,female,,,11.17,2019-08-31,Qualification
366,Mats,VANCRAEYNEST,BEL,2001-11-30,male,,,,,
367,John-alexandre,VINK,BEL,2002-12-19,male,,,,,
368,Pauline,OURY,BEL,2003-03-04,female,,,,,
369,Arno,LUYPAERT,BEL,1998-12-18,male,,,,,
373,Hannes,VAN DUYSEN,BEL,2004-09-04,male,,175,,,
374,Arthur,BOUQUET,BEL,2004-07-12,male,,,,,
375,Nore,PELLENS,BEL,2004-03-07,female,,,13.15,2019-08-31,Qualification
376,Tine,WALRAEVENS,BEL,2004-06-24,female,,,,,
377,Brecht,WITTOEK,BEL,2000-03-07,male,,,,,
382,François,MERTENS DE WILMARS,BEL,2003-09-13,male,,,,,
383,Silke,DEWITTE,BEL,2004-07-28,female,,,,,
384,Ferre,HUYLEBROEK,BEL,2003-05-25,male,,,,,
385,Morgane,DAELE,BEL,2002-03-03,female,,,,,
386,Zara,COOREMAN,BEL,2001-01-03,female,,,,,
387,Donatien,MEEUS,BEL,2001-04-20,male,,,,,
388,Ahmed,BRAHIMI,FRA,,male,,,,,
389,Alexy,FAUGERE,FRA,,male,,,,,
390,Antoine,GIRARD,FRA,2000-06-02,male,,,,,
391,Anthony,LAMICHE,FRA,,male,,,,,
392,Arnaud,PETIT,FRA,1971-02-17,male,,,,,
393,Antoine,PECHER,FRA,,male,,,,,
394,Aymar,DE RUGY,FRA,,male,,,,,
395,Benoît,FOUBERT,FRA,,male,,,,,
396,Bruno,MESTRE,FRA,,male,,,,,
398,Corentin,LE GOFF,FRA,1976-03-09,male,,,,,
399,Cyril,VION,FRA,,male,,,,,
400,Damien,BOITARD,FRA,,male,,,,,
401,Denis,BOURE,FRA,,male,,,,,
402,Daniel,DU LAC,FRA,1976-11-03,male,,,,,
403,Didier,GANDY,FRA,,male,,,,,
404,Damien,GIRARD,FRA,,male,,,,,
405,Didier,MENELLI,FRA,,male,,,,,
406,Didier,RABOUTOU,FRA,,male,,,,,
407,Damien,YOU,FRA,1973-12-03,male,,,,,
408,Jacky,GODOFFE,FRA,1956-11-21,male,,,,,
409,Julien,GRAS,FRA,,male,,,,,
410,Jacques,LARTHOMAS,FRA,,male,,,,,
411,Jean-marc,MEROT,FRA,,,,,,,
412,Jérôme,MEYER,FRA,1979-05-31,male,,,,,
414,Jeremy,REYBON,FRA,,male,,,,,
415,Jean-paul,STORTI,FRA,,male,,,,,
416,Jean-minh,TRINH-THIEU,FRA,1973-02-21,male,,,,,
417,Kevin,DESBROSSES,FRA,,male,,,,,
419,Michaël,FUSELIER,FRA,1981-01-04,male,,,,,
420,Mathieu,GALLOT-LAVALLEE,FRA,1973-07-27,male,,,,,
421,Michel,JULLIEN,FRA,,male,,,,,
422,Manu,REYNAUD,FRA,,male,,,,,
424,Sébastien,GNECCHI,FRA,1978-12-19,male,,,,,
425,Stephane,JULIEN,FRA,1977-08-06,male,,,,,
426,Sylvain,MILLET,FRA,1978-04-16,male,,,,,
427,Cecile,AVEZOU,FRA,1971-12-18,female,,,11.8,2012-09-16,Qualification
428,Corinne,THEROUX,FRA,1974-07-20,female,,,,,
429,Marianne,BERGER,FRA,1975-11-09,female,,,,,
430,Sandrine,LEVET,FRA,1982-07-22,female,,,,,
431,Romain,CABESSUT,FRA,1982-11-11,male,,,,,
432,Gérome,POUVREAU,FRA,1983-10-26,male,,,,,
433,Sylvain,CHAPELLE,FRA,1980-12-18,male,,,,,
434,Nicolas,JANUEL,FRA,1983-02-12,male,,,,,
435,Remi,SAMYN,FRA,1984-01-01,male,,,,,
436,Guillaume,GLAIRON MONDET,FRA,1986-12-10,male,,,,,
437,Romain,DESGRANGES,FRA,1982-10-12,male,,,10.29,2019-10-20,Qualification
438,Caroline,CIAVALDINI,FRA,1985-03-06,female,,,,,
439,Anne-laure,CHEVRIER,FRA,1988-10-16,female,,,,,
440,Romain,PAGNOUX,FRA,1986-11-26,male,"Limited Range, Power u0026 Stability 3: RP3",,,,
441,Thomas,CALEYRON,FRA,1984-01-01,male,,,,,
442,Alizée,DUFRAISSE,FRA,1987-06-13,female,,,24.85,2011-07-24,Qualification
443,Mélanie,SANDOZ,FRA,1987-02-06,female,,,,,
444,Gautier,SUPPER,FRA,1990-10-01,male,,,,,
445,Charlotte,DURIF,FRA,1990-08-18,female,,,10.48,2016-09-18,Qualification
446,Marine,THÉVENET,FRA,1989-09-26,female,,,,,
447,Manuel,ROMAIN,FRA,1988-04-28,male,,,,,
448,Thomas,BALLET,FRA,1989-08-01,male,,,,,
450,Thomas,DUPIN,FRA,1991-07-11,male,,,8.34,2010-09-12,Final
451,Anatole,BOSIO,FRA,1988-03-10,male,,,,,
452,Margot,HEITZ,FRA,1992-02-12,female,,,8.3,2014-07-12,Qualification
454,Melissa,LE NEVE,FRA,1989-07-08,female,,,,,
455,Hélène,JANICOT,FRA,1993-12-13,female,,165,,,
456,Mathilde,BECERRA,FRA,1991-08-14,female,,,,,
457,Nolwen,BERTHIER,FRA,1993-08-16,female,,,,,
458,Esther,BRUCKNER,FRA,1994-09-01,female,,,8.33,2012-10-13,Final
459,Adrien,TRIBOUT,FRA,1995-06-14,male,,,,,
460,Clementine,KAISER,FRA,1991-12-24,female,,,,,
461,Charli,BLEIN,FRA,1992-12-12,male,,,,,
462,Manon,HILY,FRA,1994-01-24,female,,154,10.59,2019-04-28,Qualification
463,Thomas,JOANNES,FRA,1994-12-20,male,,,,,
464,Quentin,NAMBOT,FRA,1995-11-22,male,,,6.01,2014-10-12,Qualification
465,Maël,BONZOM,FRA,1995-08-23,male,,,,,
466,Julia,CHANOURDIE,FRA,1996-06-25,female,,164,8.17,2021-09-16,Qualification
